Gene,Target_ChEMBL_ID,Target_Name,Molecule_ChEMBL_ID,Drug_Name,SMILES,pChEMBL,Assay_Type,Max_Phase,First_Approval,Source
MTOR,CHEMBL2842,Serine/threonine-protein kinase mTOR,CHEMBL573663,,CCOC(=O)N1CCC(n2ncc3c(N4CCOC[C@H]4C)nc(-c4ccc(NC(=O)Nc5ccncc5)cc4)nc32)CC1,9.55,IC50,,,ChEMBL_API
MTOR,CHEMBL2842,Serine/threonine-protein kinase mTOR,CHEMBL557963,,COC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc(NC(=O)Nc5ccncc5)cc4)nc32)CC1,9.52,IC50,,,ChEMBL_API
TNF,CHEMBL1825,Tumor necrosis factor,CHEMBL3640296,,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(C(N)C(F)(F)F)cc3)NC(=O)NC1=O)C2,9.51,Ki,,,ChEMBL_API
TNF,CHEMBL1825,Tumor necrosis factor,CHEMBL3640301,,COc1ccc2c(c1F)C(=O)N(C[C@@]1(C#Cc3ccc4c(c3)CN(C)C(=O)N4)NC(=O)NC1=O)C2,9.51,Ki,,,ChEMBL_API
MTOR,CHEMBL2842,Serine/threonine-protein kinase mTOR,CHEMBL558486,,CCNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(C(=O)OC)CC4)c3n2)cc1,9.49,IC50,,,ChEMBL_API
MTOR,CHEMBL2842,Serine/threonine-protein kinase mTOR,CHEMBL556947,,COC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc(NC(=O)Nc5ccc(N6CCN(C)CC6)cc5)cc4)nc32)CC1,9.47,IC50,,,ChEMBL_API
TNF,CHEMBL1825,Tumor necrosis factor,CHEMBL3640300,,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc4c(c3)CN(C)C(=O)N4)NC(=O)NC1=O)C2,9.46,Ki,,,ChEMBL_API
TNF,CHEMBL1825,Tumor necrosis factor,CHEMBL3640297,,COc1ccc2c(c1F)C(=O)N(C[C@@]1(C#Cc3ccc4c(=O)[nH][nH]c4c3)NC(=O)NC1=O)C2,9.46,Ki,,,ChEMBL_API
MTOR,CHEMBL2842,Serine/threonine-protein kinase mTOR,CHEMBL551440,,CNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(Cc5cccnc5)CC4)c3n2)cc1,9.42,IC50,,,ChEMBL_API
TNF,CHEMBL1825,Tumor necrosis factor,CHEMBL3640304,,CSc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3cccnc3)NC(=O)NC1=O)C2,9.41,Ki,,,ChEMBL_API
TNF,CHEMBL1825,Tumor necrosis factor,CHEMBL3640305,,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(C(O)C4CCN(C)CC4)cc3)NC(=O)NC1=O)C2,9.39,Ki,,,ChEMBL_API
